2023-03-21 12:07:48.074; Test signal; 0; 32; 1000; 5.528; BA DC
2023-03-21 12:08:48.753; Test signal; 0; 32; 1000; 5.528; BA DC
2023-03-21 12:09:48.766; Monitoring; 1; 32; 1000; 5.528; BA DC
2023-03-21 12:10:48.870; Monitoring; 0; 32; 1000; 5.528; BA DC
2023-03-21 12:12:13.343; ImpedanceCheck; 0; 32; 1000; 5.534; BA DC
2023-03-21 12:13:18.160; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 12:14:18.206; Saving; 1; 32; 1000; 5.529; BA DC
2023-03-21 12:16:31.897; ImpedanceCheck; 0; 32; 1000; 5.528; BA DC
2023-03-21 12:17:32.399; Monitoring; 0; 32; 1000; 5.528; BA DC
2023-03-28 14:41:15.465; Monitoring; 0; 16; 1000; 6.500; ExG16
2023-03-28 14:42:16.125; Monitoring; 0; 16; 1000; 6.500; ExG16
2023-03-28 14:43:16.888; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-03-28 14:45:18.295; Monitoring; 1; 32; 5000; 6.500; BA DC
2023-03-28 14:46:18.270; Monitoring; 1; 32; 5000; 6.500; BA DC
2023-03-28 14:47:18.679; Monitoring; 0; 32; 5000; 6.500; BA DC
2023-03-28 14:48:19.122; Monitoring; 1; 32; 5000; 5.282; BA DC
2023-03-28 14:49:19.118; Saving; 1; 32; 5000; 5.171; BA DC
2023-03-28 14:50:21.224; Monitoring; 1; 32; 5000; 5.167; BA DC
2023-03-28 14:51:53.227; Monitoring; 1; 32; 5000; 5.529; BA DC
2023-03-28 14:52:53.231; Monitoring; 1; 32; 5000; 5.529; BA DC
2023-03-28 14:53:53.848; Saving; 1; 32; 5000; 5.529; BA DC
2023-04-04 12:09:56.906; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-04 12:10:57.755; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-04 12:11:58.518; Monitoring; 0; 16; 1000; 6.500; ExG16
2023-04-04 12:12:59.342; Monitoring; 0; 16; 1000; 6.500; ExG16
2023-04-04 12:14:00.059; Monitoring; 0; 16; 1000; 6.500; ExG16
2023-04-04 12:15:00.120; Monitoring; 0; 16; 1000; 6.500; ExG16
2023-04-04 12:16:00.898; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-04 12:17:01.004; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-04 12:18:01.700; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-04 12:19:02.534; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-04 12:20:03.416; Monitoring; 1; 16; 1000; 6.500; ExG16
2023-04-04 12:21:04.095; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:22:04.213; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:23:04.856; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 12:24:04.937; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:25:05.734; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:26:05.755; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:27:05.801; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 12:28:06.525; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 12:29:06.557; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:30:07.428; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:31:08.152; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:34:54.723; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:36:01.317; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 12:37:02.054; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 12:38:02.064; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:39:02.141; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 12:40:02.879; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:41:03.573; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:42:03.638; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:51:04.283; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:52:11.531; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:55:12.492; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:56:12.769; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 12:57:14.706; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 13:12:45.885; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 13:13:46.458; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 13:14:54.873; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 13:15:55.287; Monitoring; 1; 16; 1000; 5.526; ExG16
2023-04-04 13:17:19.596; Monitoring; 0; 16; 1000; 5.526; ExG16
2023-04-04 13:18:20.150; Monitoring; 1; 16; 1000; 5.526; ExG16
